女书字符	汉字	《字帖》序	土话代表发音	图片散列值（Hash）	备注
𛅰	一	0	i5	93071e29ba70dae525adbd7c14948ce7	
𛅱	两日入二	1	na33	7638cf6bde3d58401a9b4d8fa6dcced1	
𛅲	傺错七	2	tsha5	a7b3aa765387d67d89b84fb2edce3707	
𛅳	人	3	ie21	af8512bf9c36e64e2c40b0f366f7161c	
𛅴	八	4	poe5	f660f470154ec65de4522efaa3739781	
𛅵	十事实侍拾莳是誓	5	swe33	7f3d01e9773c6e294260ef8a963b11b0	
𛅶	标蜂漂飘批披喷片骗	6	phiu44	719f231c9f68e4c1176000d9e2123727	
𛅷	约雨宇羽舞屋武	7	u5	303524ab387f670fd790335125bb5abe	
𛅸	水	8	cya35	68141eb3f1e830c650f1e7693428c9db	
𛅹	了礼弟帝吊调丫	9	tie42	5f3838a18ebc1512768a48de97b6dcd0	
𛅺	内义要语宜仪谊议意遗蚁以认忍耳	10	njie33	091e1bbb6403a1e542e804912ee9c414	
𛅻	大代袋待怠台抬	11	toe33	813e3ce9cb368ca9bb225724a5fcb295	
𛅼	尺嘱烛却	12	tchye5	6d383b33cada45254731f0998cf6001f	
𛅽	下吓化	13	fwe13	c01e00a32c7e593abd0656a0dc0335ba	
𛅾	朝犁低刁雕	14	liu44	f73b5463e8d63fd5147c6c4b69eabf46	
𛅿	小细笑洗息夕削叔送宋宿	15	siu35	416fb6b27ec15a7b2b0859fd965ed0cf	
𛆀	土	16	thu35	68870180ddba756646c5c6a6f9d21622	
𛆁	女	17	njyu13	7d942a905d0b60b708d3ff2b7ab6d534	
𛆂	文闻	18	vai42	ccd5ed2692752861df645cfa1ba44ea5	
𛆃	坑间工公跟竿功更根庚耕	19	kai44	1dc57b74e19e591f0035d9ba6fbb05ae	
𛆄	寸可靠壳扩考介戒界狗苟稿确	20	khau21	77a68c590c7cc8966d4a25a862dc68e8	
𛆅	界介顾个告够过	21	kou21	f218ea77c9a2e386221ad5ffbc99e9be	
𛆆	者九久韭酒守	22	tciou35	1ae8f47b2bd3d195878890dd7c78e7d1	
𛆇	两二	23	liang35	686b5193590902947e797db3005ae250	
𛆈	向上食	24	ciang13	940e1eaa25c1d739544714995d046a31	
𛆉	干千签迁	25	tsheng44	731276452f0826ea43233b99b52cf0f6	
𛆊	三	26	song44	9c0467e9aff51a0e2a5f497483852afe	
𛆋	没	27	ma5	1767d87123e9d0d0e8c634b29a5e6ebd	
𛆌	辉挥坏灰非飞饭翻番反费虽	29	fa44	b8bfbed280dddbd2617746a855e05833	
𛆍	知泪虑立利粒单丹	28	la44	dcec878e4adcf7f34cc2a43b43254d4f	
𛆎	太	31	thoe21	5d2dd0585f3dec29864918b6fb47a422	
𛆏	才财裁	32	tsoe42	62dac3ec95aa59fe557f1b522e91153e	
𛆐	蝦括骨刮发	33	fwe44	83b80654f4e79269d02c3f9d2d87a97b	
𛆑	此翅池子只纸指旨紫趾仔崽	34	tswe35	ab7b8b851a983ff68f784bc6f19291c7	
𛆒	称曾了拉弄弟刀动低洞第得灯登滴冻凳待带铜腾替驼潭	35	ti13	61c272ae244debcd850c5d94903a6266	
𛆓	戏习世势逝	36	ci21	9c95f5db6d7f5643e05b50e9eae1a14f	
